InvoiceId,CustomerId,Customer_Name,Country,InvoiceDate,Year,Month,TrackId,Track_Name,Genre,Album,Artist,Quantity,UnitPrice,Revenue
1,2,Leonie Köhler,Germany,2021-01-01 00:00:00,2021,01,2,Balls to the Wall,Rock,Balls to the Wall,Accept,1,0.99,0.99
1,2,Leonie Köhler,Germany,2021-01-01 00:00:00,2021,01,4,Restless and Wild,Rock,Restless and Wild,Accept,1,0.99,0.99
2,4,Bjørn Hansen,Norway,2021-01-02 00:00:00,2021,01,6,Put The Finger On You,Rock,For Those About To Rock We Salute You,AC/DC,1,0.99,0.99
2,4,Bjørn Hansen,Norway,2021-01-02 00:00:00,2021,01,8,Inject The Venom,Rock,For Those About To Rock We Salute You,AC/DC,1,0.99,0.99
2,4,Bjørn Hansen,Norway,2021-01-02 00:00:00,2021,01,10,Evil Walks,Rock,For Those About To Rock We Salute You,AC/DC,1,0.99,0.99
2,4,Bjørn Hansen,Norway,2021-01-02 00:00:00,2021,01,12,Breaking The Rules,Rock,For Those About To Rock We Salute You,AC/DC,1,0.99,0.99
3,8,Daan Peeters,Belgium,2021-01-03 00:00:00,2021,01,16,Dog Eat Dog,Rock,Let There Be Rock,AC/DC,1,0.99,0.99
3,8,Daan Peeters,Belgium,2021-01-03 00:00:00,2021,01,20,Overdose,Rock,Let There Be Rock,AC/DC,1,0.99,0.99
3,8,Daan Peeters,Belgium,2021-01-03 00:00:00,2021,01,24,Love In An Elevator,Rock,Big Ones,Aerosmith,1,0.99,0.99
3,8,Daan Peeters,Belgium,2021-01-03 00:00:00,2021,01,28,Janie's Got A Gun,Rock,Big Ones,Aerosmith,1,0.99,0.99
3,8,Daan Peeters,Belgium,2021-01-03 00:00:00,2021,01,32,Deuces Are Wild,Rock,Big Ones,Aerosmith,1,0.99,0.99
3,8,Daan Peeters,Belgium,2021-01-03 00:00:00,2021,01,36,Angel,Rock,Big Ones,Aerosmith,1,0.99,0.99
4,14,Mark Philips,Canada,2021-01-06 00:00:00,2021,01,42,Right Through You,Rock,Jagged Little Pill,Alanis Morissette,1,0.99,0.99
4,14,Mark Philips,Canada,2021-01-06 00:00:00,2021,01,48,Not The Doctor,Rock,Jagged Little Pill,Alanis Morissette,1,0.99,0.99
4,14,Mark Philips,Canada,2021-01-06 00:00:00,2021,01,54,Bleed The Freak,Rock,Facelift,Alice In Chains,1,0.99,0.99
4,14,Mark Philips,Canada,2021-01-06 00:00:00,2021,01,60,Confusion,Rock,Facelift,Alice In Chains,1,0.99,0.99
4,14,Mark Philips,Canada,2021-01-06 00:00:00,2021,01,66,Por Causa De Você,Jazz,Warner 25 Anos,Antônio Carlos Jobim,1,0.99,0.99
4,14,Mark Philips,Canada,2021-01-06 00:00:00,2021,01,72,Angela,Jazz,Warner 25 Anos,Antônio Carlos Jobim,1,0.99,0.99
4,14,Mark Philips,Canada,2021-01-06 00:00:00,2021,01,78,Master Of Puppets,Metal,Plays Metallica By Four Cellos,Apocalyptica,1,0.99,0.99
4,14,Mark Philips,Canada,2021-01-06 00:00:00,2021,01,84,Welcome Home (Sanitarium),Metal,Plays Metallica By Four Cellos,Apocalyptica,1,0.99,0.99
4,14,Mark Philips,Canada,2021-01-06 00:00:00,2021,01,90,Set It Off,Rock,Audioslave,Audioslave,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,99,Your Time Has Come,Alternative & Punk,Out Of Exile,Audioslave,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,108,Dandelion,Alternative & Punk,Out Of Exile,Audioslave,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,117,Rock 'N' Roll Music,Rock And Roll,BackBeat Soundtrack,BackBeat,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,126,Moon germs,Jazz,The Best Of Billy Cobham,Billy Cobham,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,135,Super Terrorizer,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,144,Heart Of Gold,Metal,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,153,Evil Woman,Metal,Black Sabbath,Black Sabbath,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,162,Cornucopia,Metal,Black Sabbath Vol. 4 (Remaster),Black Sabbath,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,171,Bowels Of The Devil,Alternative & Punk,Body Count,Body Count,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,180,Body Count Anthem,Alternative & Punk,Body Count,Body Count,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,189,Jerusalem,Metal,Chemical Wedding,Bruce Dickinson,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,198,When My Left Eye Jumps,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,207,Meditação,Latin,Prenda Minha,Caetano Veloso,1,0.99,0.99
5,23,John Gordon,USA,2021-01-11 00:00:00,2021,01,216,Esse Cara,Latin,Prenda Minha,Caetano Veloso,1,0.99,0.99
6,37,Fynn Zimmermann,Germany,2021-01-19 00:00:00,2021,01,230,"Bye, Bye Brasil",Latin,Minha Historia,Chico Buarque,1,0.99,0.99
7,38,Niklas Schröder,Germany,2021-02-01 00:00:00,2021,02,231,Atras Da Porta,Latin,Minha Historia,Chico Buarque,1,0.99,0.99
7,38,Niklas Schröder,Germany,2021-02-01 00:00:00,2021,02,232,Tatuagem,Latin,Minha Historia,Chico Buarque,1,0.99,0.99
8,40,Dominique Lefebvre,France,2021-02-01 00:00:00,2021,02,234,Morena De Angola,Latin,Minha Historia,Chico Buarque,1,0.99,0.99
8,40,Dominique Lefebvre,France,2021-02-01 00:00:00,2021,02,236,A Banda,Latin,Minha Historia,Chico Buarque,1,0.99,0.99
9,42,Wyatt Girard,France,2021-02-02 00:00:00,2021,02,238,Com Açúcar E Com Afeto,Latin,Minha Historia,Chico Buarque,1,0.99,0.99
9,42,Wyatt Girard,France,2021-02-02 00:00:00,2021,02,240,Meu Caro Amigo,Latin,Minha Historia,Chico Buarque,1,0.99,0.99
9,42,Wyatt Girard,France,2021-02-02 00:00:00,2021,02,242,Trocando Em Miúdos,Latin,Minha Historia,Chico Buarque,1,0.99,0.99
9,42,Wyatt Girard,France,2021-02-02 00:00:00,2021,02,244,Gota D'água,Latin,Minha Historia,Chico Buarque,1,0.99,0.99
10,46,Hugh O'Reilly,Ireland,2021-02-03 00:00:00,2021,02,248,Etnia,Latin,Afrociberdelia,Chico Science & Nação Zumbi,1,0.99,0.99
